OBJECTID,NAME,POP2010,POP10_SQMI,POP2012,POP12_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FIPS_I,FIPSST,FIPSCO,STPO,COUNTYNAME,CNTYDISP,CNTYSHORT,CNTYSORT,CNTYCATEGO,CNTYACTIVE,INDEPCITY,CNTYSTAND,SEATLAT,SEATLONG,NAD83UTM,NAD83STATE,NAD27STATE,STATENAME,CNTYSTARTD,CNTYENDD,LASTCHGD,NOTE,BOTTOM,TOP_,LEFT_,RIGHT_,OBJECTID_1,GlobalID,Shape_Length,Shape_Area,LAT,LONG
1,Abbeville,25417,49.7,25326,49.56164384,17691,7187,60,75,5,255,108,291,12321,13096,1527,1573,1650,1902,1556,2499,3105,3669,3733,2389,1337,477,41.5,40.1,42.9,9990,2.45,1216,1516,1911,3007,242,962,,,,,Abbeville,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.679734511,0.1294871,34.2225078,-82.45877334
2,Aiken,160099,148.2,164322,152.073963,111457,39354,682,1329,61,7824,4126,3090,77550,82549,10046,10058,10167,10993,10080,19324,19384,24020,21408,14100,7877,2642,40,38.5,41.3,64253,2.45,7744,9562,12170,19501,1603,6168,,,,,Aiken,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.730528276,0.271680093,33.544201,-81.63511739
3,Allendale,10419,25.3,10344,25.08061974,2465,7672,20,41,2,239,134,85,5540,4879,616,638,639,720,683,1418,1385,1484,1461,789,409,177,38.7,36.3,41.6,3706,2.45,556,693,454,713,80,645,,,,,Allendale,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.013643757,0.103050698,32.98805615,-81.35816863
4,Anderson,187126,247,189685,250.4158526,149818,30020,478,1405,43,5447,2500,2862,90255,96871,12069,12303,12925,12518,10798,21412,24889,27720,24163,16113,8901,3315,39.7,38.6,40.7,73829,2.5,8208,10518,15407,22318,1945,6962,,,,,Anderson,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.209436163,0.192612311,34.51897397,-82.63792299
5,Bamberg,15987,40.4,16061,40.62373533,5770,9837,42,68,3,258,112,155,7605,8382,942,919,1015,1569,1340,1555,1698,2170,2214,1408,827,330,39.2,36.7,41,6048,2.44,888,1033,888,1431,148,837,,,,,Bamberg,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.821977572,0.099036411,33.21473048,-81.05412104
6,Barnwell,22621,40.6,22837,40.96837271,11899,10015,85,126,5,411,160,331,10809,11812,1490,1613,1634,1704,1325,2537,2715,3413,3017,1773,1038,362,38.8,37,40.4,8937,2.5,1119,1419,1507,2227,234,1249,,,,,Barnwell,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.817288205,0.139714403,33.26605221,-81.43507652
7,Beaufort,162233,261.4,167491,269.8638524,116606,31290,481,1889,119,19567,8515,3333,80089,82144,10960,9566,8553,9956,11756,20137,17534,18580,22159,20137,9698,3197,40.6,38,43.4,64945,2.42,6212,9597,11914,24052,1444,4884,,,,,Beaufort,,,,,,,,,,,,,South Carolina,,,,,,,,,,,11.84826654,0.154055874,32.38583585,-80.73790666
8,Berkeley,177843,145.6,187161,153.2297943,118232,44514,1067,4046,184,10755,4990,4810,88729,89114,13253,12355,11924,12794,13378,26379,24347,25491,20128,11529,4814,1451,34.5,33.1,36,65419,2.66,6929,7452,15459,18081,2107,6895,,,,,Berkeley,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.65873273,0.305914915,33.1994695,-79.95106242
9,Calhoun,15175,38.7,15179,38.66374589,8177,6459,52,32,9,458,267,179,7397,7778,910,879,919,982,793,1597,1826,2405,2394,1479,723,268,43.4,42.1,44.6,6080,2.47,834,796,1113,1842,130,585,,,,,Calhoun,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.338478025,0.098855506,33.67493316,-80.78014738
10,Charleston,350209,358.1,358160,366.194303,224910,104239,1068,4719,299,18877,9477,5497,169871,180338,22886,20077,18419,22528,31910,55456,43171,47982,43059,25010,13869,5842,35.9,34.6,37.3,144309,2.36,18842,24643,23175,35206,2955,13462,,,,,Charleston,,,,,,,,,,,,,South Carolina,,,,,,,,,,,13.25014251,0.243958763,32.83191528,-79.96587007
11,Cherokee,55342,139.3,56033,141.0557849,41525,11278,199,313,17,2032,1223,787,26860,28482,3724,3713,3830,3999,3618,6366,7712,7876,7062,4341,2260,841,38.2,37.3,39,21519,2.54,2611,2947,4127,5812,744,2553,,,,,Cherokee,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.696804542,0.101648602,35.04815734,-81.620354
12,Chester,33140,56.5,33524,57.18379531,19814,12387,136,109,5,479,187,502,16018,17122,2201,2093,2174,2333,1946,3597,4365,5105,4491,2797,1481,557,40.3,39.2,41.3,12876,2.56,1558,1772,2248,3476,405,1673,,,,,Chester,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.806967445,0.149377146,34.6920827,-81.15947453
13,Chesterfield,46734,58,46967,58.28400531,29352,15253,237,172,12,1666,945,763,22697,24037,2987,3089,3317,3447,2725,5214,6385,6979,6259,3788,1931,613,39.3,38.2,40.3,18173,2.52,2402,2574,3414,4698,575,2220,,,,,Chesterfield,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.433772816,0.205199312,34.63974186,-80.15861579
14,Clarendon,34971,50.3,35591,51.16737111,16445,17504,86,225,4,899,418,289,17271,17700,2052,2100,2173,2580,2505,3677,3840,5055,5122,3640,1686,541,41.5,38.5,44,13132,2.54,1559,1867,2077,3839,297,1733,,,,,Clarendon,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.319546211,0.175131827,33.66577466,-80.21661117
15,Colleton,38892,36.2,38902,36.19026355,22173,15178,322,126,7,1094,499,587,18747,20145,2579,2515,2706,2682,2229,4157,4709,5763,5474,3635,1741,702,40.7,39.7,41.6,15131,2.54,1852,2197,2712,4088,475,1819,,,,,Colleton,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.827537101,0.268217993,32.86377775,-80.66659165
16,Darlington,68681,121.2,68962,121.6518487,38366,28573,194,203,8,1140,603,734,32555,36126,4359,4552,4727,5083,4013,7592,8795,10122,9645,5758,2900,1135,39.6,38.2,40.8,26531,2.54,3050,3853,4687,6996,726,3528,,,,,Darlington,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.281035278,0.143831266,34.33229868,-79.95776956
17,Dillon,32062,78.9,32548,80.04918839,15399,14782,790,78,8,833,481,524,15084,16978,2379,2443,2244,2430,1988,3907,3911,4573,4028,2400,1263,496,36.7,34.8,38.4,11923,2.65,1429,1735,2034,2761,369,1889,,,,,Dillon,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.65704075,0.103235,34.39150594,-79.37887739
18,Dorchester,136555,237.2,143307,248.8876153,92621,35266,904,2052,146,6075,1978,3588,66381,70174,9759,10242,10520,10033,8027,18582,19868,20260,15415,8589,3895,1365,35.6,34.5,36.5,50259,2.68,4726,6129,12738,13697,1522,5714,,,,,Dorchester,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.74237304,0.144016069,33.07942554,-80.40512787
19,Edgefield,26985,53.3,27583,54.45804541,15825,10030,67,95,11,1414,604,353,14568,12417,1408,1581,1692,1822,1566,3451,3842,4321,3778,2156,984,384,40.3,38.6,42.5,9348,2.56,1068,1255,1868,2891,273,931,,,,,Edgefield,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.698314244,0.127680403,33.77225238,-81.96657556
20,Fairfield,23956,33.7,24360,34.30695998,9236,14167,50,55,2,374,182,264,11473,12483,1436,1456,1516,1616,1373,2488,2925,3878,3703,2065,1118,382,42.3,41.5,43.1,9419,2.5,1231,1267,1464,2570,284,1280,,,,,Fairfield,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.927459389,0.180290445,34.39504364,-81.1211591
21,Florence,136885,170.3,139514,173.600448,75116,56506,464,1671,23,3030,1548,1557,64319,72566,9226,9372,9323,9439,9580,17062,17795,19454,17617,10527,5458,2032,37.5,36,38.8,52653,2.54,5857,8008,10148,13366,1307,6869,,,,,Florence,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.688342394,0.203177272,34.02427366,-79.70264024
22,Georgetown,60158,71,60974,71.94487381,38005,20214,136,271,14,1867,969,549,28648,31510,3351,3492,3811,3705,2813,5829,6771,8554,9912,7337,3458,1125,45.4,43.7,46.7,24524,2.43,2515,3707,4003,8443,576,2483,,,,,Georgetown,,,,,,,,,,,,,South Carolina,,,,,,,,,,,4.468891898,0.212832392,33.43797762,-79.33539909
23,Greenville,451225,567.8,464394,584.3271469,333084,81497,1401,8849,257,36495,17667,8470,218791,232434,31164,29892,30072,30722,29967,60584,62990,65148,53105,32627,17804,7150,37.1,35.9,38.2,176531,2.49,20551,27151,38866,48831,4315,15674,,,,,Greenville,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.171595085,0.202992674,34.89398102,-82.37057292
24,Greenwood,69661,150.4,70125,151.4480703,43783,21846,196,572,25,3789,2420,819,32654,37007,4735,4329,4594,5259,5077,8470,8807,9407,8439,5546,3538,1460,37.8,36.4,38.9,27547,2.43,3206,4478,4899,7333,756,3307,,,,,Greenwood,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.755861283,0.117238707,34.15377762,-82.12586997
25,Hampton,21090,37.5,21602,38.38513069,8999,11359,66,113,8,744,274,271,10807,10283,1347,1326,1473,1524,1229,2648,2915,3103,2696,1655,869,305,38.5,37,40.3,7598,2.57,982,1151,1465,1877,230,998,,,,,Hampton,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.15419718,0.140285374,32.77626768,-81.14077152
26,Horry,269291,235.4,281207,245.7931264,215071,36202,1279,2816,305,16683,8366,5252,131691,137600,15303,15086,14695,16805,18432,33834,33463,37077,38526,28382,13675,4013,41.2,39.7,42.7,112225,2.37,13311,16797,17993,35032,2982,9078,,,,,Horry,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.249599345,0.288900456,33.9214566,-78.99697165
27,Jasper,24777,37.1,26070,39.07256977,10658,11406,122,176,13,3752,2050,352,12905,11872,1859,1711,1546,1751,1969,3685,3217,3542,2728,1671,785,313,34.6,33.1,36.8,8517,2.73,1005,1110,1701,2067,329,1060,,,,,Jasper,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.089246017,0.165710043,32.43767913,-81.03277348
28,Kershaw,61697,83.4,63027,85.15090924,43965,15188,197,302,29,2298,1040,976,30017,31680,4110,4088,4288,4182,3281,6933,7942,9564,8512,5094,2761,942,40.2,38.4,41.7,23928,2.56,2604,3253,5188,7160,689,2359,,,,,Kershaw,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.533697238,0.187814501,34.33861281,-80.59042036
29,Lancaster,76652,138,80201,144.4412427,54844,18278,235,494,17,3384,1815,969,37762,38890,5184,4866,4811,4823,4114,9431,10799,10641,10246,7218,3362,1157,39.6,38.3,41.1,29697,2.51,3126,4195,5957,9199,767,2999,,,,,Lancaster,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.534488681,0.14146891,34.68651865,-80.70525982
30,Laurens,66537,91.9,66448,91.81832,46848,16933,153,183,34,2729,1532,854,32298,34239,4307,4089,4300,4901,4455,7165,8616,9803,8913,5586,3109,1293,39.9,38.3,41.3,25525,2.51,3065,3608,4657,7228,831,2800,,,,,Laurens,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.251805593,0.183944751,34.4835172,-82.00583454
31,Lee,19220,46.7,19220,46.74920342,6419,12359,51,59,3,334,162,167,9950,9270,1116,1209,1160,1334,1376,2550,2267,3008,2604,1453,841,302,38.9,36,42.1,6797,2.54,928,1065,996,1555,176,1035,,,,,Lee,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.825088768,0.104107176,34.16320606,-80.2544222
32,Lexington,262391,346.4,270419,357.0170575,208023,37522,1134,3729,130,14529,6984,4869,128134,134257,17472,17684,17987,17581,16313,34320,36557,39846,32520,18847,9540,3724,37.7,36.6,38.8,102733,2.53,11320,14230,22996,29771,2910,9064,,,,,Lexington,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.35452389,0.191223776,33.90222558,-81.2721248
33,McCormick,10233,26,10452,26.53936978,4985,5083,10,34,6,81,23,92,5558,4675,424,362,398,455,448,1125,1182,1527,1863,1628,667,154,50,47.3,53.2,4027,2.22,535,568,389,1639,69,374,,,,,McCormick,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.077093826,0.099423604,33.89951735,-82.30967368
34,Marion,33062,66.9,33335,67.45108355,13434,18476,144,176,2,791,417,413,15116,17946,2249,2161,2187,2363,1887,3815,3896,4733,4919,2827,1505,520,39.9,37.5,41.8,13058,2.52,1582,2142,1921,3045,307,2078,,,,,Marion,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.752296261,0.125026234,34.07983857,-79.36243827
35,Marlboro,28933,59.6,29437,60.66232535,11987,14729,1308,75,4,800,306,524,15260,13673,1676,1623,1820,1872,1769,4173,4065,4375,3781,2243,1130,406,38.8,36.7,41.7,10383,2.47,1443,1677,1527,2292,281,1634,,,,,Marlboro,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.913307288,0.123511946,34.6018514,-79.67850017
36,Newberry,37508,57.9,38002,58.70485371,23301,11626,130,122,35,2690,1858,436,18255,19253,2426,2352,2364,2643,2507,4191,4598,5368,5100,3372,1762,825,39.9,38.3,41.5,14709,2.47,1788,2185,2584,4223,442,1633,,,,,Newberry,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.205480185,0.164162709,34.28976168,-81.60009292
37,Oconee,74273,110.3,75277,111.7449714,65177,5613,176,436,10,3349,1686,1175,36682,37591,4168,4240,4498,4798,4228,7729,8956,10635,10915,8447,4364,1295,43.4,41.8,44.9,30676,2.4,3784,4268,5723,10782,656,2139,,,,,Oconee,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.694854053,0.171771695,34.75335581,-83.06589035
38,Orangeburg,92501,82,92731,82.16899711,31770,57535,491,752,14,1767,843,1096,43455,49046,6162,5704,5776,7490,7784,10415,10211,12938,12287,7919,4238,1577,38,36.1,39.6,35788,2.49,4776,5586,5225,8428,997,5236,,,,,Orangeburg,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.754880829,0.283411353,33.4392053,-80.79989488
39,Pickens,119224,232.9,120551,235.4557706,105747,7854,230,1913,14,3743,1690,1776,59553,59671,6429,6658,6972,11466,14757,13477,13931,15835,13706,9108,4978,1907,34.9,32.8,36.8,45228,2.48,5260,6128,9177,13420,1114,3030,,,,,Pickens,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.381974349,0.130760113,34.88738778,-82.72534484
40,Richland,384504,498.4,395322,512.4335675,181974,176538,1230,8548,425,18637,7358,8431,187330,197174,24463,24038,23746,33358,40822,57978,49845,51568,41145,21097,11782,4662,32.7,31,34.4,145194,2.43,18816,25012,26318,31223,3333,17550,,,,,Richland,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.17578579,0.195032409,34.02170265,-80.90269403
41,Saluda,19875,43,20111,43.53972721,12141,5230,83,38,63,2857,2042,278,9989,9886,1365,1238,1221,1316,1196,2472,2519,2762,2591,1834,956,405,39.5,37.7,41.4,7527,2.61,869,951,1478,2334,222,701,,,,,Saluda,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.590068752,0.116750835,34.00607474,-81.72687334
42,Spartanburg,284307,347.1,288046,351.6143602,205680,58565,764,5746,86,16658,8714,4752,137769,146538,18970,18957,19429,21032,18886,33863,38810,40946,35187,22066,11736,4425,37.9,36.7,39.1,109246,2.53,12504,16105,23044,30362,3041,10944,,,,,Spartanburg,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.166731899,0.209332676,34.93106552,-81.9905945
43,Sumter,107456,157.5,108450,159.0036067,51825,50414,389,1188,99,3532,1511,2030,51732,55724,7949,7419,7503,7921,8218,14198,12996,15188,12143,7883,4323,1715,35.4,33.4,37.4,40398,2.59,4775,5667,7932,10098,1181,5451,,,,,Sumter,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.905467242,0.172220915,33.91620501,-80.38237763
44,Union,28961,56.1,28818,55.83477031,19286,9066,67,79,11,282,92,360,13780,15181,1674,1743,1933,1980,1548,3053,3747,4476,4038,2637,1543,589,41.9,40.4,43.5,11974,2.38,1540,1927,1922,3221,350,1442,,,,,Union,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.818311904,0.131504963,34.68919136,-81.61938696
45,Williamsburg,34423,36.7,35377,37.7543942,10939,22637,114,138,3,689,330,262,16734,17689,2051,2221,2294,2470,1978,3984,4308,5035,5043,2893,1574,572,40.2,37.8,42.6,13007,2.53,1692,2075,2049,3148,338,1880,,,,,Williamsburg,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.476697237,0.235800319,33.61987072,-79.72776716
46,York,226073,324.9,236387,339.7634174,169158,43003,1934,3413,126,10075,4258,4181,109092,116981,15534,16228,16341,16108,14251,27727,33683,34029,26546,15250,7604,2772,37.1,36.4,37.7,85864,2.59,9047,11110,20763,24388,2359,8150,,,,,York,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.106412477,0.177872724,34.97476513,-81.18437119
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12001,12,001,FL,Alachua,"Alachua County, Florida","ALACHUA, FL",FL-Alachua,County,Y,N,Y,29.65139,-82.325,26917,26960,26760,Florida,,,2003-02-24, ,29.41724,29.94538,-82.65859,-82.04914,,,2.611057713,0.233933541,29.67482508,-82.35750634
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12003,12,003,FL,Baker,"Baker County, Florida","BAKER, FL",FL-Baker,County,Y,N,Y,30.28194,-82.12222,26917,26960,26760,Florida,,,2003-02-24, ,30.13645,30.58427,-82.45954,-82.04882,,,1.806089096,0.143072575,30.33097907,-82.28450431
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005,12,005,FL,Bay,"Bay County, Florida","BAY, FL",FL-Bay,County,Y,N,Y,30.15861,-85.66028,26916,26960,26760,Florida,,,2003-02-24, ,29.9245,30.56782,-85.99574,-85.38413,,,3.619702717,0.206907134,30.27102768,-85.61902907
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,12,007,FL,Bradford,"Bradford County, Florida","BRADFORD, FL",FL-Bradford,County,Y,N,Y,29.94389,-82.11,26917,26960,26760,Florida,,,2003-02-24, ,29.71867,30.14324,-82.41879,-82.04611,,,1.592193294,0.072621182,29.95014502,-82.16895428
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12009,12,009,FL,Brevard,"Brevard County, Florida","BREVARD, FL",FL-Brevard,County,Y,N,Y,28.61194,-80.80778,26917,26958,26758,Florida,,,2003-02-24, ,27.82206,28.7914,-80.98725,-80.44697,,,12.24727999,0.252829582,28.26268638,-80.74259046
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12011,12,011,FL,Broward,"Broward County, Florida","BROWARD, FL",FL-Broward,County,Y,N,Y,26.12194,-80.14361,26917,26958,26758,Florida,,,2003-02-24, ,25.95675,26.3347,-80.88123,-80.07486,,,3.476012539,0.284930336,26.15205839,-80.48857295
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12013,12,013,FL,Calhoun,"Calhoun County, Florida","CALHOUN, FL",FL-Calhoun,County,Y,N,Y,30.44333,-85.04528,26916,26960,26760,Florida,,,2003-02-24, ,30.19989,30.60808,-85.38963,-84.93252,,,1.874527621,0.13964228,30.40602576,-85.19727441
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12015,12,015,FL,Charlotte,"Charlotte County, Florida","CHARLOTTE, FL",FL-Charlotte,County,Y,N,Y,26.97583,-82.09083,26917,26959,26759,Florida,,,2003-02-24, ,26.76867,27.03529,-82.37482,-81.56268,,,9.579498165,0.165114927,26.90697654,-81.89431667
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12017,12,017,FL,Citrus,"Citrus County, Florida","CITRUS, FL",FL-Citrus,County,Y,N,Y,28.83556,-82.33056,26917,26959,26759,Florida,,,2003-02-24, ,28.66567,29.0529,-82.77635,-82.16914,,,12.2205567,0.149520419,28.85089046,-82.46778677
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12019,12,019,FL,Clay,"Clay County, Florida","CLAY, FL",FL-Clay,County,Y,N,Y,29.99167,-81.67833,26917,26958,26758,Florida,,,2003-02-24, ,29.71867,30.19347,-82.04944,-81.58079,,,1.778699137,0.155848738,29.98302242,-81.85790466
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12021,12,021,FL,Collier,"Collier County, Florida","COLLIER, FL",FL-Collier,County,Y,N,Y,26.14167,-81.795,26917,26958,26758,Florida,,,2003-02-24, ,25.80304,26.51707,-81.84597,-80.87275,,,12.11312503,0.476611524,26.11745081,-81.34005146
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12023,12,023,FL,Columbia,"Columbia County, Florida","COLUMBIA, FL",FL-Columbia,County,Y,N,Y,30.18944,-82.63944,26917,26960,26760,Florida,,,2003-02-24, ,29.82609,30.59772,-82.80011,-82.45255,,,2.62597867,0.194410265,30.22399329,-82.62165708
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12027,12,027,FL,DeSoto,"DeSoto County, Florida","DE SOTO, FL",FL-DeSoto,County,Y,N,Y,27.21556,-81.85861,26917,26959,26759,Florida,,,2003-02-24, ,27.03157,27.34072,-82.05763,-81.56225,,,1.604597275,0.150852333,27.18636342,-81.80931259
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12029,12,029,FL,Dixie,"Dixie County, Florida","DIXIE, FL",FL-Dixie,County,Y,N,Y,29.63417,-83.12528,26917,26960,26760,Florida,,,2003-02-24, ,29.28941,29.82544,-83.41493,-82.90396,,,5.217915703,0.171997509,29.6099512,-83.15798961
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12031,12,031,FL,Duval,"Duval County, Florida","DUVAL, FL",FL-Duval,County,Y,N,Y,30.33194,-81.65583,26917,26958,26758,Florida,,,2003-02-24, ,30.10375,30.58564,-82.0495,-81.38051,,,6.581760891,0.197031562,30.32785616,-81.67703048
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12033,12,033,FL,Escambia,"Escambia County, Florida","ESCAMBIA, FL",FL-Escambia,County,Y,N,Y,30.42111,-87.21694,26916,26960,26760,Florida,,,2003-02-24, ,30.28044,30.99906,-87.63494,-86.9193,,,4.872549229,0.163461929,30.70056467,-87.37668334
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12035,12,035,FL,Flagler,"Flagler County, Florida","FLAGLER, FL",FL-Flagler,County,Y,N,Y,29.46583,-81.25806,26917,26958,26758,Florida,,,2003-02-24, ,29.26108,29.67062,-81.52371,-81.10188,,,3.122795584,0.121360763,29.46040446,-81.3144396
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12037,12,037,FL,Franklin,"Franklin County, Florida","FRANKLIN, FL",FL-Franklin,County,Y,N,Y,29.72556,-84.98333,26916,26960,26760,Florida,,,2003-02-24, ,29.58675,30.01393,-85.22276,-84.33375,,,7.604436835,0.131059608,29.87707984,-84.81275855
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12039,12,039,FL,Gadsden,"Gadsden County, Florida","GADSDEN, FL",FL-Gadsden,County,Y,N,Y,30.58694,-84.58333,26916,26960,26760,Florida,,,2003-02-24, ,30.38781,30.71154,-84.93252,-84.28121,,,2.038652175,0.128718688,30.57950863,-84.61361484
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12041,12,041,FL,Gilchrist,"Gilchrist County, Florida","GILCHRIST, FL",FL-Gilchrist,County,Y,N,Y,29.61306,-82.81778,26917,26960,26760,Florida,,,2003-02-24, ,29.56247,29.93569,-82.97305,-82.65631,,,1.423692702,0.085848701,29.72587894,-82.80034353
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12043,12,043,FL,Glades,"Glades County, Florida","GLADES, FL",FL-Glades,County,Y,N,Y,26.83278,-81.09333,26917,26958,26758,Florida,,,2003-02-24, ,26.7682,27.21091,-81.56609,-80.87021,,,2.279737834,0.232153998,26.95653098,-81.1890203
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12045,12,045,FL,Gulf,"Gulf County, Florida","GULF, FL",FL-Gulf,County,Y,N,Y,29.81167,-85.30306,26916,26960,26760,Florida,,,2003-02-24, ,29.65472,30.20142,-85.41797,-85.00934,,,2.739220514,0.140601984,29.95459376,-85.22282103
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12047,12,047,FL,Hamilton,"Hamilton County, Florida","HAMILTON, FL",FL-Hamilton,County,Y,N,Y,30.51806,-82.94833,26917,26960,26760,Florida,,,2003-02-24, ,30.31726,30.63442,-83.30961,-82.64539,,,2.294721422,0.126377944,30.49644989,-82.94776515
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12049,12,049,FL,Hardee,"Hardee County, Florida","HARDEE, FL",FL-Hardee,County,Y,N,Y,27.54694,-81.81167,26917,26959,26759,Florida,,,2003-02-24, ,27.33671,27.64661,-82.05575,-81.5633,,,1.600700623,0.150983552,27.49272116,-81.80990661
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12051,12,051,FL,Hendry,"Hendry County, Florida","HENDRY, FL",FL-Hendry,County,Y,N,Y,26.76139,-81.43861,26917,26958,26758,Florida,,,2003-02-24, ,26.25305,26.95892,-81.5663,-80.87981,,,2.753080501,0.279127371,26.55350709,-81.16576313
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12053,12,053,FL,Hernando,"Hernando County, Florida","HERNANDO, FL",FL-Hernando,County,Y,N,Y,28.555,-82.38806,26917,26959,26759,Florida,,,2003-02-24, ,28.43348,28.69505,-82.68784,-82.05459,,,3.711461693,0.117005955,28.55286016,-82.42096338
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12055,12,055,FL,Highlands,"Highlands County, Florida","HIGHLANDS, FL",FL-Highlands,County,Y,N,Y,27.49528,-81.44111,26917,26958,26758,Florida,,,2003-02-24, ,27.03229,27.64668,-81.56394,-80.94181,,,2.854087749,0.261322298,27.34328624,-81.3409286
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12057,12,057,FL,Hillsborough,"Hillsborough County, Florida","HILLSBOROUGH, FL",FL-Hillsborough,County,Y,N,Y,27.94722,-82.45861,26917,26959,26759,Florida,,,2003-02-24, ,27.57711,28.17338,-82.7667,-82.05401,,,6.621993066,0.254481489,27.93047338,-82.30772413
