OBJECTID,NAME,POP2010,POP10_SQMI,POP2012,POP12_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FIPS_I,FIPSST,FIPSCO,STPO,COUNTYNAME,CNTYDISP,CNTYSHORT,CNTYSORT,CNTYCATEGO,CNTYACTIVE,INDEPCITY,CNTYSTAND,SEATLAT,SEATLONG,NAD83UTM,NAD83STATE,NAD27STATE,STATENAME,CNTYSTARTD,CNTYENDD,LASTCHGD,NOTE,BOTTOM,TOP_,LEFT_,RIGHT_,OBJECTID_1,GlobalID,Shape_Length,Shape_Area,LAT,LONG
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37169,37,169,NC,Stokes,"Stokes County, North Carolina","STOKES, NC",NC-Stokes,County,Y,N,Y,36.40917,-80.20611,32119,32119,32019,North Carolina,,,2003-02-24, ,36.25734,36.55063,-80.45195,-80.02727,,{0B994D98-C422-4E42-A0AD-C59D356C71C2},1.404220442,0.118551254,36.40186437,-80.23960539
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37177,37,177,NC,Tyrrell,"Tyrrell County, North Carolina","TYRRELL, NC",NC-Tyrrell,County,Y,N,Y,35.9175,-76.2525,32119,32119,32019,North Carolina,,,2003-02-24, ,35.59799,35.99524,-76.40369,-76.01234,,{C09B7DEE-DEC5-4381-B4EE-FA23290EFEDE},3.324991315,0.101422575,35.81611722,-76.21212921
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37143,37,143,NC,Perquimans,"Perquimans County, North Carolina","PERQUIMANS, NC",NC-Perquimans,County,Y,N,Y,36.19,-76.46639,32119,32119,32019,North Carolina,,,2003-02-24, ,36.07731,36.37804,-76.58986,-76.19249,,{C8E934FE-CB33-4C4F-A2F5-69454AECEB53},2.25308087,0.064213574,36.20690227,-76.44187005
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37095,37,095,NC,Hyde,"Hyde County, North Carolina","HYDE, NC",NC-Hyde,County,Y,N,Y,35.40611,-76.32944,32119,32119,32019,North Carolina,,,2003-02-24, ,35.06508,35.70524,-76.63829,-75.75071,,{CC7FADD3-5E0F-4DA1-8271-A31481C61BAE},8.391900865,0.176892675,35.53175756,-76.24798271
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37199,37,199,NC,Yancey,"Yancey County, North Carolina","YANCEY, NC",NC-Yancey,County,Y,N,Y,35.91722,-82.30111,32119,32119,32019,North Carolina,,,2003-02-24, ,35.6987,36.08456,-82.50538,-82.13318,,{1A1FDCF4-52E0-48FF-92F3-DA3D24355532},1.627022715,0.080974278,35.89881921,-82.30746666
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37119,37,119,NC,Mecklenburg,"Mecklenburg County, North Carolina","MECKLENBURG, NC",NC-Mecklenburg,County,Y,N,Y,35.22694,-80.84333,32119,32119,32019,North Carolina,,,2003-02-24, ,35.00171,35.51834,-81.05803,-80.55027,,{A13E53FF-E1B1-44F5-9543-E26FE9E40C43},1.93624321,0.140001585,35.24656721,-80.83273555
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37075,37,075,NC,Graham,"Graham County, North Carolina","GRAHAM, NC",NC-Graham,County,Y,N,Y,35.32278,-83.8075,32119,32119,32019,North Carolina,,,2003-02-24, ,35.21693,35.46656,-84.03833,-83.58226,,{38852E43-DD55-4869-A40F-63FAA59561CF},1.458571293,0.077469217,35.35016602,-83.83358782
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37099,37,099,NC,Jackson,"Jackson County, North Carolina","JACKSON, NC",NC-Jackson,County,Y,N,Y,35.37361,-83.22611,32119,32119,32019,North Carolina,,,2003-02-24, ,35.00077,35.52486,-83.36375,-82.91923,,{78C57A5F-7861-491C-AF38-32A78180B956},1.971920325,0.126912687,35.2872605,-83.14069805
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37097,37,097,NC,Iredell,"Iredell County, North Carolina","IREDELL, NC",NC-Iredell,County,Y,N,Y,35.7825,-80.8875,32119,32119,32019,North Carolina,,,2003-02-24, ,35.49516,36.05788,-81.11276,-80.6927,,{DDF88235-1EC1-4F21-A1A6-13AF65C52E30},1.915883677,0.154277319,35.80683977,-80.87343792
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37091,37,091,NC,Hertford,"Hertford County, North Carolina","HERTFORD, NC",NC-Hertford,County,Y,N,Y,36.39556,-76.93222,32119,32119,32019,North Carolina,,,2003-02-24, ,36.23823,36.54633,-77.20879,-76.69831,,{D23B83A7-3FB2-4CE4-AE64-126F99DA5B8D},2.622238488,0.091974719,36.35881752,-76.98395108
